Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/alertas/,530,0,15,56.602707718893896,10.241707999739447,2627.0362929999465,2.0,4.4378111967917615,0.0,15,18,20,22,30,55,900,1400,2600,2600,2600
POST,/api/auth/token/,50,0,1300,1716.8879757198563,560.5864169992856,3782.9010859995833,489.0,0.4186614336596001,0.0,1400,2200,2400,2600,3100,3300,3800,3800,3800,3800,3800
GET,/api/insumos/,797,0,14,44.141703127971965,9.220291000019643,3506.2858349992894,2.0,6.6734632525340265,0.0,14,16,19,22,35,62,300,890,3500,3500,3500
GET,/api/plantacoes/,519,0,15,51.785227919056304,10.292917000697344,3125.189627000509,2.0,4.345705681386649,0.0,15,18,20,22,35,70,600,1000,3100,3100,3100
GET,/api/produtos/,777,0,14,49.6480520501976,9.90962500054593,2517.275210000662,2.0,6.505998679070186,0.0,14,16,19,20,35,79,320,1400,2500,2500,2500
GET,/api/propriedades/,1031,0,14,63.10299639960516,9.865875000286906,2364.6117509997566,2.0,8.632798762060954,0.0,14,17,19,21,39,150,990,2000,2300,2400,2400
,Aggregated,3704,0,15,76.00891746516974,9.220291000019643,3782.9010859995833,8.573974082073434,31.014439005503178,0.0,15,17,20,22,42,150,1200,2100,3300,3800,3800
