timestamp,pod,cpu_millicores,memory_mib,hpa_cpu_current,hpa_cpu_target,hpa_replicas,hpa_min,hpa_max
2026-07-05T20:31:44Z,django-api-6774b9b97d-kd6ps,10,115,,,3,2,10
2026-07-05T20:31:44Z,django-api-6774b9b97d-prc6l,10,115,,,3,2,10
2026-07-05T20:31:44Z,django-api-6774b9b97d-pwx89,9,115,,,3,2,10
2026-07-05T20:31:44Z,locust-runner,0,2,,,3,2,10
2026-07-05T20:31:44Z,postgres-0,12,23,,,3,2,10
2026-07-05T20:31:49Z,django-api-6774b9b97d-kd6ps,46,115,,,3,2,10
2026-07-05T20:31:49Z,django-api-6774b9b97d-prc6l,41,115,,,3,2,10
2026-07-05T20:31:49Z,django-api-6774b9b97d-pwx89,41,115,,,3,2,10
2026-07-05T20:31:49Z,locust-runner,18,38,,,3,2,10
2026-07-05T20:31:49Z,postgres-0,15,34,,,3,2,10
2026-07-05T20:31:54Z,django-api-6774b9b97d-kd6ps,46,115,,,3,2,10
2026-07-05T20:31:54Z,django-api-6774b9b97d-prc6l,41,115,,,3,2,10
2026-07-05T20:31:54Z,django-api-6774b9b97d-pwx89,41,115,,,3,2,10
2026-07-05T20:31:54Z,locust-runner,18,38,,,3,2,10
2026-07-05T20:31:54Z,postgres-0,15,34,,,3,2,10
2026-07-05T20:31:59Z,django-api-6774b9b97d-kd6ps,46,115,,,3,2,10
2026-07-05T20:31:59Z,django-api-6774b9b97d-prc6l,41,115,,,3,2,10
2026-07-05T20:31:59Z,django-api-6774b9b97d-pwx89,41,115,,,3,2,10
2026-07-05T20:31:59Z,locust-runner,18,38,,,3,2,10
2026-07-05T20:31:59Z,postgres-0,15,34,,,3,2,10
2026-07-05T20:32:04Z,django-api-6774b9b97d-kd6ps,302,115,,,3,2,10
2026-07-05T20:32:04Z,django-api-6774b9b97d-prc6l,335,115,,,3,2,10
2026-07-05T20:32:04Z,django-api-6774b9b97d-pwx89,367,115,,,3,2,10
2026-07-05T20:32:04Z,locust-runner,50,40,,,3,2,10
2026-07-05T20:32:04Z,postgres-0,130,23,,,3,2,10
2026-07-05T20:32:09Z,django-api-6774b9b97d-kd6ps,302,115,,,3,2,10
2026-07-05T20:32:09Z,django-api-6774b9b97d-prc6l,335,115,,,3,2,10
2026-07-05T20:32:09Z,django-api-6774b9b97d-pwx89,367,115,,,3,2,10
2026-07-05T20:32:09Z,locust-runner,50,40,,,3,2,10
2026-07-05T20:32:09Z,postgres-0,130,23,,,3,2,10
2026-07-05T20:32:15Z,django-api-6774b9b97d-kd6ps,302,115,,,3,2,10
2026-07-05T20:32:15Z,django-api-6774b9b97d-prc6l,335,115,,,3,2,10
2026-07-05T20:32:15Z,django-api-6774b9b97d-pwx89,367,115,,,3,2,10
2026-07-05T20:32:15Z,locust-runner,50,40,,,3,2,10
2026-07-05T20:32:15Z,postgres-0,130,23,,,3,2,10
2026-07-05T20:32:20Z,django-api-6774b9b97d-kd6ps,101,115,,,3,2,10
2026-07-05T20:32:20Z,django-api-6774b9b97d-prc6l,93,115,,,3,2,10
2026-07-05T20:32:20Z,django-api-6774b9b97d-pwx89,91,115,,,3,2,10
2026-07-05T20:32:20Z,locust-runner,66,40,,,3,2,10
2026-07-05T20:32:20Z,postgres-0,188,23,,,3,2,10
2026-07-05T20:32:25Z,django-api-6774b9b97d-kd6ps,101,115,,,3,2,10
2026-07-05T20:32:25Z,django-api-6774b9b97d-prc6l,93,115,,,3,2,10
2026-07-05T20:32:25Z,django-api-6774b9b97d-pwx89,91,115,,,3,2,10
2026-07-05T20:32:25Z,locust-runner,66,40,,,3,2,10
2026-07-05T20:32:25Z,postgres-0,188,23,,,3,2,10
2026-07-05T20:32:30Z,django-api-6774b9b97d-kd6ps,101,115,,,3,2,10
2026-07-05T20:32:30Z,django-api-6774b9b97d-prc6l,93,115,,,3,2,10
2026-07-05T20:32:30Z,django-api-6774b9b97d-pwx89,91,115,,,3,2,10
2026-07-05T20:32:30Z,locust-runner,66,40,,,3,2,10
2026-07-05T20:32:30Z,postgres-0,188,23,,,3,2,10
2026-07-05T20:32:35Z,django-api-6774b9b97d-kd6ps,111,115,,,3,2,10
2026-07-05T20:32:35Z,django-api-6774b9b97d-prc6l,124,115,,,3,2,10
2026-07-05T20:32:35Z,django-api-6774b9b97d-pwx89,128,115,,,3,2,10
2026-07-05T20:32:35Z,locust-runner,94,40,,,3,2,10
2026-07-05T20:32:35Z,postgres-0,250,23,,,3,2,10
2026-07-05T20:32:40Z,django-api-6774b9b97d-kd6ps,111,115,,,3,2,10
2026-07-05T20:32:40Z,django-api-6774b9b97d-prc6l,124,115,,,3,2,10
2026-07-05T20:32:40Z,django-api-6774b9b97d-pwx89,128,115,,,3,2,10
2026-07-05T20:32:40Z,locust-runner,94,40,,,3,2,10
2026-07-05T20:32:40Z,postgres-0,250,23,,,3,2,10
2026-07-05T20:32:45Z,django-api-6774b9b97d-kd6ps,111,115,,,3,2,10
2026-07-05T20:32:45Z,django-api-6774b9b97d-prc6l,124,115,,,3,2,10
2026-07-05T20:32:45Z,django-api-6774b9b97d-pwx89,128,115,,,3,2,10
2026-07-05T20:32:45Z,locust-runner,94,40,,,3,2,10
2026-07-05T20:32:45Z,postgres-0,250,23,,,3,2,10
2026-07-05T20:32:51Z,django-api-6774b9b97d-42jgs,72,114,,,3,2,10
