Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/alertas/,978,0,20,189.17338201330074,9.701082999526989,7647.208878000129,2.0,8.182495441049122,0.0,20,35,59,97,380,830,2200,3400,7600,7600,7600
POST,/api/auth/token/,100,0,2500,3035.88049058998,548.2150839998212,8494.45908800044,489.0,0.8366559755673948,0.0,2600,3200,3500,3900,6100,8100,8400,8500,8500,8500,8500
GET,/api/insumos/,1497,0,20,183.52914356512258,9.470291999605251,8040.02104600022,2.0,12.5247399542439,0.0,20,39,72,120,420,890,1800,2800,7200,8000,8000
GET,/api/plantacoes/,917,0,20,186.2565942748057,9.912542000165558,7929.652003999763,2.0,7.6721352959530105,0.0,20,32,59,96,360,880,1800,3000,7900,7900,7900
GET,/api/produtos/,1351,0,22,185.96433849149548,9.499499999947147,8151.464004000445,2.0,11.303222229915503,0.0,22,39,68,110,380,910,2000,3000,8000,8200,8200
GET,/api/propriedades/,1898,0,21,186.0493696427986,9.468166999795358,8337.52062900021,2.0,15.879730416269153,0.0,21,39,81,150,470,920,1800,2800,7600,8300,8300
,Aggregated,6741,0,21,228.23016858315185,9.468166999795358,8494.45908800044,9.224447411363299,56.39897931299809,0.0,21,40,77,140,480,1100,2600,3500,8100,8500,8500
